Sample,Factor,Value
WLLO-BTM_bin.25.o,Gly-Tyr_e0,0.25
WLLO-BTM_bin.25.o,ocdca_e0,0.1
WLLO-BTM_bin.25.o,Ala-His_e0,0.07
WLLO-BTM_bin.25.o,Myristic acid_e0,0.34
WLLO-BTM_bin.25.o,UMP_e0,0.0
WLLO-BTM_bin.25.o,Gly-Met_e0,0.29
WLLO-BTM_bin.25.o,scale_max,2.5
WLLO-BTM_bin.25.o,scale_min,-0.5
WLLO-BTM_bin.26.o,O2_e0,2.0
WLLO-BTM_bin.26.o,D-Glucose_e0,2.0
WLLO-BTM_bin.26.o,Nitrate_e0,2.0
WLLO-BTM_bin.26.o,Maltose_e0,0.0
WLLO-BTM_bin.26.o,L-Arginine_e0,0.79
WLLO-BTM_bin.26.o,L-Leucine_e0,1.06
WLLO-BTM_bin.26.o,ala-L-Thr-L_e0,0.87
WLLO-BTM_bin.26.o,L-Isoleucine_e0,0.78
WLLO-BTM_bin.26.o,gly-asn-L_e0,0.7
WLLO-BTM_bin.26.o,L-Valine_e0,0.94
WLLO-BTM_bin.26.o,L-Lysine_e0,0.85
WLLO-BTM_bin.26.o,Gly-Phe_e0,0.59
WLLO-BTM_bin.26.o,meso-2_6-Diaminopimelate_e0,0.0
WLLO-BTM_bin.26.o,Gly-Tyr_e0,0.48
WLLO-BTM_bin.26.o,ocdca_e0,0.33
WLLO-BTM_bin.26.o,Ala-His_e0,0.3
WLLO-BTM_bin.26.o,Myristic acid_e0,0.0
WLLO-BTM_bin.26.o,UMP_e0,0.1
WLLO-BTM_bin.26.o,Gly-Met_e0,0.51
WLLO-BTM_bin.26.o,scale_max,2.5
WLLO-BTM_bin.26.o,scale_min,-0.5
WLLO-BTM_bin.27.o,O2_e0,2.0
WLLO-BTM_bin.27.o,D-Glucose_e0,1.37
WLLO-BTM_bin.27.o,Nitrate_e0,0.0
WLLO-BTM_bin.27.o,Maltose_e0,0.0
WLLO-BTM_bin.27.o,L-Arginine_e0,0.33
WLLO-BTM_bin.27.o,L-Leucine_e0,0.6
WLLO-BTM_bin.27.o,ala-L-Thr-L_e0,0.26
WLLO-BTM_bin.27.o,L-Isoleucine_e0,0.32
WLLO-BTM_bin.27.o,gly-asn-L_e0,0.24
WLLO-BTM_bin.27.o,L-Valine_e0,0.48
WLLO-BTM_bin.27.o,L-Lysine_e0,0.0
WLLO-BTM_bin.27.o,Gly-Phe_e0,0.12
WLLO-BTM_bin.27.o,meso-2_6-Diaminopimelate_e0,0.43
WLLO-BTM_bin.27.o,Gly-Tyr_e0,0.02
WLLO-BTM_bin.27.o,ocdca_e0,0.0
WLLO-BTM_bin.27.o,Ala-His_e0,0.0
WLLO-BTM_bin.27.o,Myristic acid_e0,0.0
WLLO-BTM_bin.27.o,UMP_e0,0.0
WLLO-BTM_bin.27.o,Gly-Met_e0,0.05
WLLO-BTM_bin.27.o,scale_max,2.5
WLLO-BTM_bin.27.o,scale_min,-0.5
WLLO-BTM_bin.4.o,O2_e0,2.0
WLLO-BTM_bin.4.o,D-Glucose_e0,2.0
WLLO-BTM_bin.4.o,Nitrate_e0,0.0
WLLO-BTM_bin.4.o,Maltose_e0,0.0
WLLO-BTM_bin.4.o,L-Arginine_e0,0.59
WLLO-BTM_bin.4.o,L-Leucine_e0,0.8
WLLO-BTM_bin.4.o,ala-L-Thr-L_e0,0.52
WLLO-BTM_bin.4.o,L-Isoleucine_e0,0.71
WLLO-BTM_bin.4.o,gly-asn-L_e0,0.5
WLLO-BTM_bin.4.o,L-Valine_e0,0.74
WLLO-BTM_bin.4.o,L-Lysine_e0,0.65
WLLO-BTM_bin.4.o,Gly-Phe_e0,0.38
WLLO-BTM_bin.4.o,meso-2_6-Diaminopimelate_e0,0.0
WLLO-BTM_bin.4.o,Gly-Tyr_e0,0.28
WLLO-BTM_bin.4.o,ocdca_e0,0.12
WLLO-BTM_bin.4.o,Ala-His_e0,0.09
WLLO-BTM_bin.4.o,Myristic acid_e0,0.37
WLLO-BTM_bin.4.o,UMP_e0,0.0
WLLO-BTM_bin.4.o,Gly-Met_e0,0.31
WLLO-BTM_bin.4.o,scale_max,2.5
WLLO-BTM_bin.4.o,scale_min,-0.5
WLUP-BTM_bin.20.o,O2_e0,2.0
WLUP-BTM_bin.20.o,D-Glucose_e0,2.0
WLUP-BTM_bin.20.o,Nitrate_e0,2.0
WLUP-BTM_bin.20.o,Maltose_e0,0.0
WLUP-BTM_bin.20.o,L-Arginine_e0,0.65
WLUP-BTM_bin.20.o,L-Leucine_e0,0.0
WLUP-BTM_bin.20.o,ala-L-Thr-L_e0,0.73
WLUP-BTM_bin.20.o,L-Isoleucine_e0,0.64
WLUP-BTM_bin.20.o,gly-asn-L_e0,0.56
WLUP-BTM_bin.20.o,L-Valine_e0,0.8
WLUP-BTM_bin.20.o,L-Lysine_e0,0.0
WLUP-BTM_bin.20.o,Gly-Phe_e0,0.44
WLUP-BTM_bin.20.o,meso-2_6-Diaminopimelate_e0,0.75
WLUP-BTM_bin.20.o,Gly-Tyr_e0,0.34
WLUP-BTM_bin.20.o,ocdca_e0,0.19
WLUP-BTM_bin.20.o,Ala-His_e0,0.15
WLUP-BTM_bin.20.o,Myristic acid_e0,0.0
WLUP-BTM_bin.20.o,UMP_e0,0.0
WLUP-BTM_bin.20.o,Gly-Met_e0,0.36
WLUP-BTM_bin.20.o,scale_max,2.5
WLUP-BTM_bin.20.o,scale_min,-0.5
WLUP-BTM_bin.25.o,O2_e0,2.0
WLUP-BTM_bin.25.o,D-Glucose_e0,1.69
WLUP-BTM_bin.25.o,Nitrate_e0,2.0
WLUP-BTM_bin.25.o,Maltose_e0,0.0
WLUP-BTM_bin.25.o,L-Arginine_e0,0.46
WLUP-BTM_bin.25.o,L-Leucine_e0,0.73
WLUP-BTM_bin.25.o,ala-L-Thr-L_e0,0.0
WLUP-BTM_bin.25.o,L-Isoleucine_e0,0.45
WLUP-BTM_bin.25.o,gly-asn-L_e0,0.14
WLUP-BTM_bin.25.o,L-Valine_e0,0.61
WLUP-BTM_bin.25.o,L-Lysine_e0,0.0
WLUP-BTM_bin.25.o,Gly-Phe_e0,0.25
WLUP-BTM_bin.25.o,meso-2_6-Diaminopimelate_e0,0.56
WLUP-BTM_bin.25.o,Gly-Tyr_e0,0.15
WLUP-BTM_bin.25.o,ocdca_e0,0.41
WLUP-BTM_bin.25.o,Ala-His_e0,0.0
WLUP-BTM_bin.25.o,Myristic acid_e0,0.0
WLUP-BTM_bin.25.o,UMP_e0,0.0
WLUP-BTM_bin.25.o,Gly-Met_e0,0.18
WLUP-BTM_bin.25.o,scale_max,2.5
WLUP-BTM_bin.25.o,scale_min,-0.5
WY03-BTM_bin.2.s,O2_e0,2.0
WY03-BTM_bin.2.s,D-Glucose_e0,2.0
WY03-BTM_bin.2.s,Nitrate_e0,2.0
WY03-BTM_bin.2.s,Maltose_e0,0.0
WY03-BTM_bin.2.s,L-Arginine_e0,0.0
WY03-BTM_bin.2.s,L-Leucine_e0,0.0
WY03-BTM_bin.2.s,ala-L-Thr-L_e0,0.0
WY03-BTM_bin.2.s,L-Isoleucine_e0,0.0
WY03-BTM_bin.2.s,gly-asn-L_e0,0.0
WY03-BTM_bin.2.s,L-Valine_e0,0.0
WY03-BTM_bin.2.s,L-Lysine_e0,0.0
WY03-BTM_bin.2.s,Gly-Phe_e0,0.0
WY03-BTM_bin.2.s,meso-2_6-Diaminopimelate_e0,0.02
WY03-BTM_bin.2.s,Gly-Tyr_e0,0.0
WY03-BTM_bin.2.s,ocdca_e0,0.0
WY03-BTM_bin.2.s,Ala-His_e0,0.0
WY03-BTM_bin.2.s,Myristic acid_e0,0.0
WY03-BTM_bin.2.s,UMP_e0,0.0
WY03-BTM_bin.2.s,Gly-Met_e0,0.0
WY03-BTM_bin.2.s,scale_max,2.5
WY03-BTM_bin.2.s,scale_min,-0.5
