Order,KO,Organism,Sample,Average,Stdev
d10b,K01966,1_Rhizobiales,3_SubHigh,0.45,0.510417786
d10b,K01966,1_Rhizobiales,4_SubLow,0.666666667,0.577350269
d10b,K01966,2_Chthoniobacterales,1_SurfHigh,0,0
d10b,K01966,2_Chthoniobacterales,2_SurfLow,0.4,0.547722558
d10b,K01966,2_Chthoniobacterales,3_SubHigh,0,0
d10b,K01966,2_Chthoniobacterales,4_SubLow,0.75,0.5
d10b,K01966,3_Rokubacterales,3_SubHigh,0.333333333,0.516397779
d10b,K01966,4_Burkholderiales,4_SubLow,1.25,0.5
d11,K05606,1_Rhizobiales,1_SurfHigh,1.363636364,1.026910636
d11,K05606,1_Rhizobiales,2_SurfLow,1.125,1.310216267
d11,K05606,1_Rhizobiales,3_SubHigh,1.25,0.966545667
d11,K05606,1_Rhizobiales,4_SubLow,2.666666667,2.081665999
d11,K05606,2_Chthoniobacterales,1_SurfHigh,0,0
d11,K05606,2_Chthoniobacterales,2_SurfLow,0,0
d11,K05606,2_Chthoniobacterales,3_SubHigh,0.1,0.316227766
d11,K05606,2_Chthoniobacterales,4_SubLow,0,0
d11,K05606,3_Rokubacterales,3_SubHigh,3.333333333,1.751190072
d11,K05606,4_Burkholderiales,4_SubLow,0,0
d12,K01847,1_Rhizobiales,1_SurfHigh,0.818181818,0.750757194
d12,K01847,1_Rhizobiales,2_SurfLow,1.4375,0.62915287
d12,K01847,1_Rhizobiales,3_SubHigh,1.25,0.638666374
d12,K01847,1_Rhizobiales,4_SubLow,8,3.464101615
d12,K01847,2_Chthoniobacterales,1_SurfHigh,0,0
d12,K01847,2_Chthoniobacterales,2_SurfLow,0,0
d12,K01847,2_Chthoniobacterales,3_SubHigh,0,0
d12,K01847,2_Chthoniobacterales,4_SubLow,0,0
d12,K01847,3_Rokubacterales,3_SubHigh,7,1.788854382
d12,K01847,4_Burkholderiales,4_SubLow,0,0
