,DCFS-BTM_bin.3.s,UT12-BTM_bin.10.o,UT12-BTM_bin.14.s,UT12-BTM_bin.9.s,UT19-BTM_bin.1.p,WLLO-BTM_bin.1.o,WLLO-BTM_bin.14.s,WLUP-BTM_bin.10.s,WLUP-BTM_bin.13.s,WLUP-BTM_bin.9.o,CLBJ-BTM_bin.2.o,DELA-BTM_bin.5.s,TEAK-BTM_bin.1.o,TEAK-BTM_bin.9.s,KONZ-TOP_bin.5.s,KONZ-TOP_bin.6.o,KONZ-TOP_bin.7.p,NWBC-TOP_bin.4.o,ORNL-TOP_bin.2.p,OCTU-TOP_bin.16.o,OCTU-TOP_bin.25.o,OCTU-TOP_bin.9.o,OSBS-TOP_bin.2.o,PPRH-TOP_bin.21.o
Menaquinone 7_e0,0.100875,0.0828223,0.0811727,0.131741,0.0796704,0.0783696,0.0393386,0.410042,0.250033,0.107472,0.0463648,0.0898071,0.0760056,0.0945926,0.21125,0.211929,0.0335634,0.118635,0.219451,0.118449,0.0481247,0.13694,0.0988176,0.125582
NADP_e0,0.06725,0.0828223,0.0541151,0.0878276,0.0531136,0.0522464,0.0262257,0.273361,0.0833443,0.0716479,0.0309098,0.0598714,0.0506704,0.0630617,0.0704166,0.070643,0.0335634,0.118635,0.146301,0.0789657,0.0481247,0.0912934,0.0658784,0.0837217
CoA_e0,0.06725,0.0276074,0.0541151,0.0439138,0.0265568,0.0261232,0.0262257,0.273361,0.0416722,0.0716479,0.0309098,0.0598714,0.0506704,0.0630617,0.0,0.0353215,0.0223756,0.0,0.0,0.0789657,0.0481247,0.0912934,0.0658784,0.0
L-Glutamine_e0,0.0126094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62565,0.0,0.0,4.43035,0.0,0.0,0.755224,0.0,0.0,0,0,0,0,0
ala-L-asp-L_e0,2.16824,0.0,0.0,0.0,0.0,0.0,0.0,2.40085,0.0,2.32347,0.0,0.0,0.0,0.0,0.0,0.0,0.725619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gly-Phe_e0,1.67795,1.37766,1.35022,2.19138,0.0,1.3036,0.654356,6.82062,2.07952,1.78768,0.230592,1.49385,1.26427,0.0,1.75696,1.76261,0.0,2.96004,3.65035,0.0,1.20076,2.27786,1.64373,2.08893
Mn2+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239,0.0154549,0.0299357,0.0253352,0.0315309,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
GTP_e0,1.4704,0.0,1.18321,1.92033,0.0,0.0,0.573418,0.0,0.0,1.56656,0.588883,1.30907,1.1079,0.0,1.32135,0.0,0.489237,0.0,3.19883,1.72656,1.05223,1.99611,1.44041,1.87241
L-Histidine_e0,0.860735,0.0,0.0,0.0,0.679803,0.0,0.0,0.0,0.0,0.917024,0.395616,0.0,0.648533,0.807129,0.901264,0.0,0.0,0.0,0.0,1.01069,0.0,1.16847,0.0,0.0
Spermidine_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239,0.0154549,0.0299357,0.0253352,0.0315309,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
D-Glutamate_e0,0.271594,0.0,0.218548,0.0,0.214503,0.0,0.0,0.0,0.0,0.289355,0.0,0.0,0.0,0.254679,0.284382,0.285297,0.0903655,0.0,0.0,0,0,0,0,0
CMP_e0,0.913294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.84143,0.0,0.0
D-Ribose_e0,0.56,0.0976909,0.709758,0.0,0.0,0.0,0.0131129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159795,77.1811,0.180731,0.0,7.61165,0,0,0,0,0
